Date,Category,Product,Units_Sold,Price_per_Unit,Total_Sales
2023-01-11,Books,Biography,4,193.56,774.24
2023-01-11,Clothing,Jacket,2,255.51,511.02
2023-01-11,Books,Fiction,4,311.77,1247.08
2023-01-12,Clothing,T-Shirt,4,297.03,1188.12
2023-01-12,Home & Kitchen,Microwave,3,325.21,975.63
2023-01-12,Electronics,Smartphone,3,412.11,1236.33
2023-01-12,Toys,Remote Car,1,480.98,480.98
2023-01-12,Clothing,Jacket,4,144.24,576.96
2023-01-12,Toys,Remote Car,2,18.93,37.86
2023-01-12,Home & Kitchen,Microwave,3,174.91,524.73
2023-01-12,Clothing,T-Shirt,2,343.99,687.98
2023-01-12,Clothing,Jacket,1,253.06,253.06
2023-01-12,Clothing,T-Shirt,2,318.18,636.36
2023-01-12,Books,Fiction,1,484.11,484.11
2023-01-13,Clothing,T-Shirt,1,288.57,288.57
2023-01-13,Home & Kitchen,Mixer,3,212.18,636.54
2023-01-13,Clothing,T-Shirt,3,294.47,883.41
2023-01-13,Books,Fiction,3,377.93,1133.79
2023-01-13,Electronics,Headphones,1,195.09,195.09
2023-01-13,Electronics,Laptop,4,414.96,1659.84
2023-01-13,Books,Comics,3,200.71,602.13
2023-01-13,Toys,Board Game,1,425.1,425.1
2023-01-14,Toys,Doll,3,475.8,1427.4
2023-01-14,Home & Kitchen,Microwave,3,50.81,152.43
2023-01-14,Books,Comics,4,171.05,684.2
2023-01-14,Home & Kitchen,Mixer,4,473.64,1894.56
2023-01-14,Electronics,Headphones,1,466.16,466.16
2023-01-14,Clothing,Jacket,2,279.27,558.54
2023-01-14,Books,Comics,3,277.5,832.5
2023-01-14,Home & Kitchen,Microwave,3,80.07,240.21
2023-01-14,Clothing,Jeans,4,434.77,1739.08
2023-01-14,Books,Biography,1,412.71,412.71
2023-01-14,Clothing,Jeans,1,261.53,261.53
2023-01-14,Home & Kitchen,Mixer,1,441.38,441.38
2023-01-14,Electronics,Headphones,3,493.14,1479.42
2023-01-15,Toys,Doll,4,50.92,203.68
2023-01-15,Books,Biography,3,217.87,653.61
2023-01-15,Clothing,Jacket,3,222.88,668.64
2023-01-15,Books,Fiction,2,239.64,479.28
2023-01-15,Clothing,T-Shirt,3,328.11,984.33
2023-01-15,Electronics,Headphones,1,126.38,126.38
2023-01-15,Electronics,Headphones,4,150.0,600.0
2023-01-15,Electronics,Laptop,1,481.98,481.98
2023-01-16,Books,Comics,4,46.16,184.64
2023-01-16,Home & Kitchen,Cookware Set,4,46.96,187.84
2023-01-16,Electronics,Smartphone,2,154.3,308.6
2023-01-16,Electronics,Smartphone,2,296.31,592.62
2023-01-16,Electronics,Headphones,4,,1919.04
2023-01-16,Toys,Board Game,4,93.14,372.56
2023-01-16,Toys,Doll,4,183.14,732.56
2023-01-16,Clothing,T-Shirt,1,137.38,137.38
2023-01-16,Home & Kitchen,Microwave,3,272.69,818.07
2023-01-17,Books,Fiction,4,142.77,571.08
2023-01-17,Books,Biography,3,413.04,1239.12
2023-01-17,Clothing,Jacket,4,294.77,1179.08
2023-01-17,Electronics,Laptop,2,467.04,934.08
2023-01-17,Clothing,Jacket,1,90.77,90.77
2023-01-18,Electronics,Laptop,1,245.38,245.38
2023-01-18,Electronics,Headphones,1,,377.29
2023-01-18,Electronics,Laptop,3,422.64,1267.92
2023-01-18,Books,Fiction,2,28.04,56.08
2023-01-18,Electronics,Smartphone,4,,187.72
2023-01-18,Toys,Board Game,1,499.86,499.86
2023-01-18,Home & Kitchen,Mixer,3,386.8,1160.4
2023-01-18,Books,Biography,2,195.15,390.3
2023-01-18,Books,Biography,1,73.29,73.29
2023-01-18,Home & Kitchen,Mixer,1,111.54,111.54
2023-01-18,Electronics,Smartphone,4,312.88,1251.52
2023-01-18,Toys,Remote Car,4,20.87,83.48
2023-01-19,Clothing,Jeans,2,417.37,834.74
2023-01-19,Clothing,T-Shirt,2,484.31,968.62
2023-01-19,Home & Kitchen,Mixer,1,75.67,75.67
2023-01-19,Books,Fiction,2,355.0,710.0
2023-01-19,Home & Kitchen,Cookware Set,2,312.46,624.92
2023-01-19,Clothing,Jeans,2,299.06,598.12
2023-01-19,Home & Kitchen,Cookware Set,3,365.93,1097.79
2023-01-19,Electronics,Laptop,1,393.99,393.99
2023-01-19,Toys,Doll,3,266.57,799.71
2023-01-19,Electronics,Smartphone,1,,82.07
2023-01-19,Electronics,Laptop,1,136.54,136.54
2023-01-19,Books,Biography,2,251.38,502.76
2023-01-19,Books,Biography,3,294.03,882.09
2023-01-19,Home & Kitchen,Cookware Set,3,73.15,219.45
2023-01-20,Home & Kitchen,Microwave,4,324.03,1296.12
2023-01-20,Toys,Board Game,3,438.42,1315.26
2023-01-20,Home & Kitchen,Mixer,4,94.44,377.76
2023-01-20,Clothing,Jacket,3,412.68,1238.04
2023-01-20,Clothing,Jeans,1,25.58,25.58
2023-01-20,Electronics,Smartphone,1,,184.44
2023-01-20,Clothing,T-Shirt,2,171.75,343.5
2023-01-20,Home & Kitchen,Mixer,2,401.71,803.42
2023-01-20,Electronics,Laptop,3,260.71,782.13
2023-01-20,Home & Kitchen,Cookware Set,4,39.93,159.72
2023-01-20,Clothing,T-Shirt,4,376.65,1506.6
2023-01-21,Clothing,Jacket,2,236.64,473.28
2023-01-21,Books,Biography,2,82.39,164.78
2023-01-21,Home & Kitchen,Cookware Set,3,448.65,1345.95
2023-01-21,Home & Kitchen,Cookware Set,4,62.51,250.04
2023-01-21,Clothing,Jeans,3,204.61,613.83
2023-01-21,Electronics,Headphones,1,99.32,99.32
2023-01-21,Electronics,Smartphone,3,53.71,161.13
2023-01-21,Toys,Board Game,1,178.03,178.03
2023-01-22,Toys,Doll,3,327.92,983.76
2023-01-22,Clothing,Jacket,4,273.18,1092.72
2023-01-22,Clothing,Jacket,4,297.4,1189.6
2023-01-22,Toys,Remote Car,2,149.05,298.1
2023-01-22,Toys,Doll,4,289.68,1158.72
2023-01-22,Home & Kitchen,Mixer,2,306.83,613.66
2023-01-22,Electronics,Smartphone,2,120.41,240.82
2023-01-22,Toys,Doll,3,53.06,159.18
2023-01-22,Electronics,Headphones,3,267.01,801.03
2023-01-22,Books,Comics,2,204.95,409.9
2023-01-22,Toys,Remote Car,4,12.6,50.4
2023-01-22,Electronics,Laptop,4,364.22,1456.88
2023-01-22,Electronics,Laptop,3,272.17,816.51
2023-01-23,Home & Kitchen,Mixer,4,110.49,441.96
2023-01-23,Clothing,Jeans,4,218.46,873.84
2023-01-23,Electronics,Smartphone,4,66.27,265.08
2023-01-23,Clothing,Jeans,4,52.77,211.08
2023-01-23,Home & Kitchen,Cookware Set,4,167.11,668.44
2023-01-23,Home & Kitchen,Mixer,2,174.94,349.88
2023-01-23,Clothing,T-Shirt,3,278.97,836.91
2023-01-23,Clothing,T-Shirt,4,406.84,1627.36
2023-01-23,Electronics,Headphones,1,11.33,11.33
2023-01-23,Electronics,Headphones,3,241.07,723.21
2023-01-23,Home & Kitchen,Microwave,3,465.47,1396.41
2023-01-23,Toys,Doll,2,467.14,934.28
2023-01-23,Home & Kitchen,Mixer,2,98.8,197.6
2023-01-23,Home & Kitchen,Mixer,4,363.58,1454.32
2023-01-24,Home & Kitchen,Mixer,1,108.8,108.8
2023-01-24,Home & Kitchen,Mixer,1,409.14,409.14
2023-01-24,Home & Kitchen,Microwave,2,454.85,909.7
2023-01-24,Electronics,Smartphone,2,202.3,404.6
2023-01-24,Home & Kitchen,Mixer,2,274.49,548.98
2023-01-24,Electronics,Smartphone,1,450.79,450.79
2023-01-24,Clothing,Jeans,1,,454.17
2023-01-24,Home & Kitchen,Cookware Set,3,221.45,664.35
2023-01-24,Home & Kitchen,Cookware Set,3,174.1,522.3
2023-01-24,Toys,Remote Car,3,313.84,941.52
2023-01-24,Toys,Doll,3,290.84,872.52
2023-01-24,Books,Biography,1,162.74,162.74
2023-01-25,Home & Kitchen,Cookware Set,1,26.43,26.43
2023-01-25,Clothing,Jeans,1,439.62,439.62
2023-01-25,Electronics,Laptop,2,272.88,545.76
2023-01-25,Toys,Board Game,4,305.94,1223.76
2023-01-25,Books,Fiction,1,122.33,122.33
2023-01-25,Toys,Board Game,2,15.98,31.96
2023-01-25,Home & Kitchen,Cookware Set,4,275.93,1103.72
2023-01-25,Home & Kitchen,Cookware Set,1,415.13,415.13
2023-01-25,Clothing,Jeans,2,206.42,412.84
2023-01-26,Home & Kitchen,Microwave,1,78.17,78.17
2023-01-26,Clothing,T-Shirt,1,18.87,18.87
2023-01-26,Toys,Remote Car,4,60.08,240.32
2023-01-26,Toys,Board Game,4,21.28,85.12
2023-01-26,Clothing,T-Shirt,4,193.47,773.88
2023-01-26,Electronics,Laptop,3,370.86,1112.58
2023-01-26,Electronics,Laptop,3,230.91,692.73
2023-01-26,Books,Fiction,2,421.06,842.12
2023-01-26,Electronics,Smartphone,3,162.61,487.83
2023-01-26,Home & Kitchen,Cookware Set,1,195.86,195.86
2023-01-26,Books,Fiction,2,403.4,806.8
2023-01-26,Books,Biography,1,65.99,65.99
2023-01-26,Toys,Board Game,2,460.73,921.46
2023-01-26,Clothing,Jacket,2,245.61,491.22
2023-01-27,Home & Kitchen,Cookware Set,4,457.25,1829.0
2023-01-27,Electronics,Headphones,4,215.27,861.08
2023-01-27,Electronics,Smartphone,1,294.49,294.49
2023-01-27,Clothing,Jeans,1,262.44,262.44
2023-01-27,Electronics,Smartphone,1,283.08,283.08
2023-01-28,Toys,Remote Car,1,100.39,100.39
2023-01-28,Electronics,Smartphone,2,377.48,754.96
2023-01-28,Home & Kitchen,Cookware Set,2,110.52,221.04
2023-01-28,Books,Fiction,1,195.09,195.09
2023-01-28,Home & Kitchen,Microwave,1,390.01,390.01
2023-01-28,Clothing,Jeans,2,225.97,451.94
2023-01-28,Clothing,Jeans,2,385.02,770.04
2023-01-28,Toys,Board Game,4,432.27,1729.08
2023-01-28,Home & Kitchen,Microwave,2,449.74,899.48
2023-01-28,Clothing,T-Shirt,3,489.68,1469.04
2023-01-29,Books,Fiction,1,118.77,118.77
2023-01-29,Home & Kitchen,Cookware Set,1,301.57,301.57
2023-01-29,Electronics,Headphones,1,97.49,97.49
2023-01-29,Electronics,Headphones,4,58.73,234.92
2023-01-29,Home & Kitchen,Mixer,2,110.44,220.88
2023-01-29,Clothing,Jacket,2,51.9,103.8
2023-01-30,Books,Comics,4,98.9,395.6
2023-01-30,Toys,Board Game,4,354.93,1419.72
2023-01-30,Electronics,Headphones,1,177.49,177.49
2023-01-30,Clothing,Jacket,2,187.9,375.8
2023-01-30,Toys,Board Game,1,210.61,210.61
2023-01-30,Electronics,Laptop,1,154.29,154.29
2023-01-30,Toys,Doll,2,392.08,784.16
2023-01-30,Electronics,Laptop,2,248.84,497.68
2023-01-30,Electronics,Laptop,3,261.1,783.3
2023-01-30,Electronics,Laptop,1,207.25,207.25
2023-01-30,Electronics,Laptop,2,419.12,838.24
2023-01-31,Clothing,Jeans,1,94.12,94.12
2023-01-31,Books,Comics,2,458.01,916.02
2023-01-31,Books,Biography,4,254.06,1016.24
2023-01-31,Clothing,T-Shirt,1,329.2,329.2
2023-01-31,Clothing,Jacket,1,15.39,15.39
2023-01-31,Books,Comics,1,140.58,140.58
2023-01-31,Home & Kitchen,Microwave,4,320.22,1280.88
2023-01-31,Books,Comics,2,458.06,916.12
2023-02-01,Books,Biography,2,216.8,433.6
2023-02-01,Clothing,Jeans,3,100.34,301.02
2023-02-01,Books,Comics,2,43.44,86.88
2023-02-01,Home & Kitchen,Cookware Set,4,458.6,1834.4
2023-02-01,Home & Kitchen,Cookware Set,4,287.54,1150.16
2023-02-01,Clothing,Jacket,3,477.5,1432.5
2023-02-01,Books,Fiction,2,25.28,50.56
2023-02-01,Toys,Remote Car,3,422.35,1267.05
2023-02-01,Electronics,Laptop,3,302.45,907.35
2023-02-01,Clothing,T-Shirt,2,242.38,484.76
2023-02-01,Electronics,Smartphone,4,366.81,1467.24
2023-02-01,Electronics,Smartphone,3,303.16,909.48
2023-02-01,Electronics,Headphones,3,411.36,1234.08
2023-02-01,Books,Comics,2,12.57,25.14
2023-02-02,Books,Comics,3,481.43,1444.29
2023-02-02,Electronics,Laptop,1,228.54,228.54
2023-02-02,Toys,Doll,4,437.74,1750.96
2023-02-02,Books,Fiction,3,364.81,1094.43
2023-02-02,Electronics,Laptop,1,326.87,326.87
2023-02-02,Home & Kitchen,Microwave,1,472.59,472.59
2023-02-02,Clothing,Jacket,1,98.48,98.48
2023-02-03,Clothing,Jacket,2,69.06,138.12
2023-02-03,Electronics,Headphones,4,66.49,265.96
2023-02-03,Home & Kitchen,Cookware Set,1,242.36,242.36
2023-02-03,Toys,Remote Car,3,166.36,499.08
2023-02-03,Clothing,Jacket,1,328.58,328.58
2023-02-03,Home & Kitchen,Mixer,2,443.65,887.3
2023-02-03,Home & Kitchen,Microwave,3,208.2,624.6
2023-02-03,Electronics,Smartphone,2,166.19,332.38
2023-02-03,Clothing,T-Shirt,4,219.14,876.56
2023-02-04,Home & Kitchen,Microwave,2,20.42,40.84
2023-02-04,Books,Fiction,2,470.14,940.28
2023-02-04,Home & Kitchen,Cookware Set,3,14.65,43.95
2023-02-04,Books,Biography,1,206.95,206.95
2023-02-04,Books,Fiction,4,438.1,1752.4
2023-02-04,Electronics,Laptop,2,214.71,429.42
2023-02-05,Toys,Board Game,1,127.0,127.0
2023-02-05,Home & Kitchen,Mixer,2,155.53,311.06
2023-02-05,Clothing,Jeans,2,298.66,597.32
2023-02-05,Electronics,Smartphone,2,32.1,64.2
2023-02-05,Electronics,Smartphone,4,70.97,283.88
2023-02-05,Home & Kitchen,Microwave,1,395.31,395.31
2023-02-05,Home & Kitchen,Microwave,3,,1322.31
2023-02-05,Home & Kitchen,Microwave,1,494.7,494.7
2023-02-05,Toys,Remote Car,4,471.94,1887.76
2023-02-05,Books,Comics,1,68.97,68.97
2023-02-05,Home & Kitchen,Microwave,1,118.04,118.04
2023-02-06,Clothing,Jacket,4,181.56,726.24
2023-02-06,Books,Biography,3,116.0,348.0
2023-02-06,Electronics,Headphones,4,497.5,1990.0
2023-02-06,Books,Comics,2,262.47,524.94
2023-02-06,Clothing,Jeans,1,85.41,85.41
2023-02-07,Books,Fiction,3,27.08,81.24
2023-02-07,Toys,Doll,1,54.83,54.83
2023-02-07,Electronics,Headphones,3,73.46,220.38
2023-02-07,Electronics,Headphones,1,427.57,427.57
2023-02-07,Clothing,T-Shirt,3,,993.21
2023-02-07,Books,Comics,3,147.88,443.64
2023-02-07,Toys,Remote Car,2,137.28,274.56
2023-02-08,Clothing,Jeans,2,481.44,962.88
2023-02-08,Books,Fiction,1,427.09,427.09
2023-02-08,Books,Biography,1,454.19,454.19
2023-02-08,Home & Kitchen,Microwave,4,287.21,1148.84
2023-02-08,Books,Fiction,2,265.42,530.84
2023-02-08,Toys,Board Game,3,434.97,1304.91
2023-02-08,Electronics,Smartphone,3,126.96,380.88
2023-02-08,Books,Biography,4,313.12,1252.48
2023-02-08,Toys,Remote Car,1,441.63,441.63
2023-02-09,Electronics,Headphones,3,414.65,1243.95
2023-02-09,Clothing,Jacket,1,374.32,374.32
2023-02-09,Clothing,Jeans,2,380.75,761.5
2023-02-09,Toys,Remote Car,2,150.65,301.3
2023-02-09,Home & Kitchen,Mixer,1,319.59,319.59
2023-02-09,Clothing,T-Shirt,3,72.94,218.82
2023-02-09,Home & Kitchen,Microwave,3,275.22,825.66
2023-02-09,Clothing,Jacket,4,319.98,1279.92
2023-02-09,Books,Fiction,2,469.24,938.48
2023-02-09,Toys,Doll,4,157.47,629.88
2023-02-09,Electronics,Laptop,1,295.26,295.26
2023-02-09,Electronics,Laptop,2,46.6,93.2
2023-02-09,Clothing,Jeans,2,487.01,974.02
2023-02-09,Books,Comics,3,301.25,903.75
2023-02-10,Books,Comics,1,168.57,168.57
2023-02-10,Home & Kitchen,Cookware Set,2,10.5,21.0
2023-02-10,Clothing,Jeans,2,498.59,997.18
2023-02-10,Electronics,Headphones,1,428.56,428.56
2023-02-10,Books,Fiction,3,118.18,354.54
2023-02-10,Clothing,Jacket,2,122.73,245.46
2023-02-10,Home & Kitchen,Cookware Set,3,475.92,1427.76
2023-02-10,Toys,Board Game,1,455.67,455.67
2023-02-10,Books,Comics,4,204.82,819.28
2023-02-10,Electronics,Smartphone,3,162.86,488.58
2023-02-10,Clothing,Jeans,3,375.46,1126.38
2023-02-11,Electronics,Smartphone,4,190.58,762.32
2023-02-11,Toys,Remote Car,4,88.03,352.12
2023-02-11,Electronics,Smartphone,1,390.53,390.53
2023-02-11,Home & Kitchen,Microwave,2,382.9,765.8
2023-02-11,Home & Kitchen,Mixer,4,154.14,616.56
2023-02-11,Toys,Doll,3,100.87,302.61
2023-02-11,Electronics,Laptop,2,303.18,606.36
2023-02-12,Toys,Board Game,2,120.51,241.02
2023-02-12,Toys,Remote Car,2,,590.34
2023-02-12,Books,Biography,4,222.29,889.16
2023-02-12,Books,Fiction,4,237.65,950.6
2023-02-12,Clothing,Jeans,3,304.01,912.03
2023-02-12,Home & Kitchen,Mixer,1,431.46,431.46
2023-02-12,Electronics,Headphones,2,377.09,754.18
2023-02-12,Electronics,Smartphone,4,493.46,1973.84
2023-02-13,Toys,Board Game,2,390.14,780.28
2023-02-13,Clothing,T-Shirt,2,271.78,543.56
2023-02-13,Electronics,Smartphone,2,26.27,52.54
2023-02-13,Toys,Doll,2,167.83,335.66
2023-02-13,Clothing,Jeans,2,402.29,804.58
2023-02-13,Clothing,Jeans,3,338.49,1015.47
2023-02-13,Home & Kitchen,Mixer,3,449.15,1347.45
2023-02-13,Electronics,Laptop,1,35.47,35.47
2023-02-13,Electronics,Laptop,4,436.77,1747.08
2023-02-13,Clothing,Jeans,4,176.33,705.32
2023-02-14,Home & Kitchen,Microwave,2,394.08,788.16
2023-02-14,Home & Kitchen,Cookware Set,1,90.36,90.36
2023-02-14,Home & Kitchen,Microwave,2,300.71,601.42
2023-02-14,Toys,Board Game,1,437.17,437.17
2023-02-14,Clothing,Jacket,3,240.39,721.17
2023-02-14,Books,Fiction,3,222.49,667.47
2023-02-14,Home & Kitchen,Microwave,2,362.41,724.82
2023-02-14,Books,Fiction,3,328.66,985.98
2023-02-14,Clothing,Jacket,3,118.07,354.21
2023-02-14,Electronics,Headphones,4,95.35,381.4
2023-02-14,Books,Comics,2,373.93,747.86
2023-02-15,Books,Biography,4,257.37,1029.48
2023-02-15,Clothing,T-Shirt,3,293.55,880.65
2023-02-15,Toys,Doll,1,203.8,203.8
2023-02-15,Toys,Doll,3,451.34,1354.02
2023-02-15,Clothing,Jacket,3,149.09,447.27
2023-02-15,Books,Comics,1,238.25,238.25
2023-02-15,Books,Comics,1,74.47,74.47
2023-02-15,Toys,Doll,3,319.94,959.82
2023-02-16,Books,Fiction,2,251.22,502.44
2023-02-16,Toys,Board Game,3,300.53,901.59
2023-02-16,Electronics,Laptop,3,90.13,270.39
2023-02-16,Home & Kitchen,Mixer,1,205.53,205.53
2023-02-16,Home & Kitchen,Mixer,1,169.34,169.34
2023-02-16,Toys,Board Game,3,232.36,697.08
2023-02-17,Home & Kitchen,Microwave,2,172.14,344.28
2023-02-17,Books,Biography,4,416.15,1664.6
2023-02-17,Electronics,Smartphone,4,298.06,1192.24
2023-02-17,Toys,Board Game,1,91.85,91.85
2023-02-17,Toys,Board Game,3,370.84,1112.52
2023-02-17,Books,Fiction,1,423.64,423.64
2023-02-17,Toys,Remote Car,3,283.49,850.47
2023-02-17,Home & Kitchen,Mixer,4,142.18,568.72
2023-02-17,Clothing,T-Shirt,3,123.25,369.75
2023-02-17,Clothing,T-Shirt,1,69.83,69.83
2023-02-17,Books,Fiction,3,164.92,494.76
2023-02-17,Electronics,Headphones,2,347.22,694.44
2023-02-17,Toys,Board Game,2,482.91,965.82
2023-02-17,Home & Kitchen,Microwave,2,168.33,336.66
2023-02-18,Home & Kitchen,Microwave,3,336.76,1010.28
2023-02-18,Toys,Remote Car,4,75.03,300.12
2023-02-18,Toys,Doll,2,369.12,738.24
2023-02-18,Clothing,T-Shirt,1,368.11,368.11
2023-02-18,Books,Biography,1,482.04,482.04
2023-02-18,Clothing,T-Shirt,3,489.53,1468.59
2023-02-18,Home & Kitchen,Microwave,2,253.62,507.24
2023-02-18,Electronics,Laptop,4,433.66,1734.64
2023-02-18,Electronics,Headphones,4,399.8,1599.2
2023-02-18,Toys,Board Game,1,115.68,115.68
2023-02-18,Books,Fiction,1,62.23,62.23
2023-02-18,Toys,Doll,2,306.43,612.86
2023-02-18,Electronics,Smartphone,1,496.74,496.74
2023-02-19,Books,Fiction,3,371.84,1115.52
2023-02-19,Toys,Doll,1,384.94,384.94
2023-02-19,Toys,Doll,3,405.84,1217.52
2023-02-19,Clothing,T-Shirt,1,165.43,165.43
2023-02-19,Books,Comics,1,68.9,68.9
2023-02-19,Electronics,Smartphone,3,318.8,956.4
2023-02-19,Clothing,Jacket,3,350.78,1052.34
2023-02-19,Toys,Board Game,1,302.28,302.28
2023-02-19,Electronics,Headphones,4,17.19,68.76
2023-02-19,Home & Kitchen,Cookware Set,4,337.42,1349.68
2023-02-19,Clothing,Jeans,2,255.22,510.44
2023-02-19,Books,Biography,4,264.35,1057.4
2023-02-19,Toys,Board Game,1,177.21,177.21
2023-02-20,Clothing,T-Shirt,3,271.47,814.41
2023-02-20,Home & Kitchen,Cookware Set,2,375.97,751.94
2023-02-20,Toys,Remote Car,3,18.93,56.79
2023-02-20,Home & Kitchen,Cookware Set,4,327.26,1309.04
2023-02-20,Toys,Remote Car,1,330.8,330.8
2023-02-20,Home & Kitchen,Cookware Set,4,467.87,1871.48
